file	text	source	license	sha256
01.wav	The quick brown fox jumps over the lazy dog.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	906b67894477c6ffaa01aa5d67d2a9d826f0a22d04009f60f9888ad4ea8d2c17
02.wav	Baro serves speech in through a local whisper sidecar.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	4a362c342ba06af39d739f19ddfa526345f1ebab6b85d0d1000558f8d4c34ea9
03.wav	The router keeps model state close to the next request.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	521d114a3dc13ff5c59bd4641c3f5ca39fbbe2833034559b2fa99df7c293013b
04.wav	Pack twelve contains four thousand ninety six tokens.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	f72dff5738d297d6b98c3fe574d381d63f048f13d8410922719286b66da03584
05.wav	Mira and Jonas meet at platform seven on Friday.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	eaf391e2c5605bd2062d9b01915841122f600bc97bc20d9be2e6275d81ce9930
06.wav	Please send the checkpoint before the evening session.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	60acb4ed022f0dae88af967a407277ec13482ea5fcdbc551bbc4744e3792bdab
07.wav	A small iGPU can verify wiring but cannot measure speed.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	47b5343c265c0ecfb68588a2a20649b54087975f1c98a6b58f2d070696c57dea
08.wav	The client asked for a calm answer with exact punctuation.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	f88a141b46d620232ba68f81a60463e9a8b3dd8e18595bee5c72ff21ff467dce
09.wav	Temperature zero should choose the same token every time.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	496dea322fdbe84865b2b49324c9fb84f8fd5d1d55f222807b57d82791db5d34
10.wav	Speech to text must preserve names, numbers, and symbols.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	c8ca29df6899fcbbe459a01d469207c0b3e943c867331a4eaa7e33fb142c408d
11.wav	Qwythos and Ornith are model names, not ordinary words.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	ce748b94e77da8a155a02ed374d6e6574b7022662db1c9cfe497ec65ab7c9324
12.wav	The receipt records the model path, language, beam, and seed.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	24ed831b403c4418826f223d59e0adf751c0aefca642ef14e33fb577bbf42e6f
13.wav	At sixteen kilohertz, this mono wave has a fixed sample rate.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	a90c072442937231cec7ddf0dc43df8a41148b421657d27e989e4d407290216f
14.wav	A stalled sidecar must fail loudly instead of returning silence.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	073702d29f28bda830d150f11e058d834da2f325c3fd8bc8d3945b41c3d2d3a0
15.wav	The brown dog crossed the bridge at nine thirty two.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	398becca7090493aaddddc36e719878cbd33ad6951e425805537a0dc899c1884
16.wav	Use one queue, one gate runner, and one receipt per item.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	28c0b4b11b2d853449a6785cf1022befeae4ddb15ba9718105fe093acb2082ac
17.wav	The API accepts a multipart file and returns a transcript.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	d87e51ea57e9a4f39076eed297306b143d8148cc0d8e97ed6821e7b874f267e7
18.wav	No hidden network call may change this deterministic fixture.	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	828a8759c48741c7d2af9f9585c5039145b882de002423af7f9a9e6a85582e36
19.wav	The final sentence ends with a question mark, does it not?	espeak-ng 1.52.0 en-us s150 CPU; ffmpeg 9.0.1 16k mono	generated; no external license	7f6f5584bec2306863432b2a18c25d91db1dccd8a750b40bfe408111fa62ab17
20-jfk.wav	And so my fellow Americans, ask not what your country can do for you, ask what you can do for your country.	whisper.cpp sample jfk.wav; base CPU transcript verification	public sample; verify upstream terms	59dfb9a4acb36fe2a2affc14bacbee2920ff435cb13cc314a08c13f66ba7860e
